Poster,No_Bedroom,Area,Apartment_Type,Furniture_Type,Price,Latitude,Longitude
cá nhân,1.0,38.0,chung cư studio,full,8.0,21.0105633,105.7994223
cá nhân,1.0,28.0,chung cư studio,cơ bản,5.0,21.0032299,105.7786142
cá nhân,3.0,114.0,chung cư thường,full,8.25,21.0442326,105.7673186
cá nhân,2.0,60.0,chung cư studio,cơ bản,3.5,21.0105208,105.952941
môi giới,2.0,80.0,chung cư thường,cơ bản,10.0,21.0586359,105.7831992
môi giới,3.0,104.0,chung cư thường,cơ bản,12.0,21.0730201,105.7703287
môi giới,2.0,86.0,chung cư thường,full,7.0,21.0442326,105.7673186
cá nhân,2.0,60.0,chung cư thường,full,3.5,20.993299,105.962857
môi giới,2.0,50.0,chung cư studio,full,3.5,21.0024138,105.9641124
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0442326,105.7673186
môi giới,1.0,40.0,chung cư thường,full,7.0,21.0607423,105.8090045
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0919168,105.7850022
môi giới,3.0,86.0,chung cư thường,full,7.0,21.0730201,105.7703287
cá nhân,2.0,83.0,chung cư thường,full,9.0,21.0396186,105.7672124
cá nhân,3.0,90.0,chung cư thường,full,12.0,21.0586359,105.7831992
cá nhân,2.0,72.0,chung cư thường,full,12.0,21.0105633,105.7994223
cá nhân,2.0,60.0,chung cư studio,cơ bản,3.5,20.9859154,105.9311644
cá nhân,2.0,55.0,chung cư thường,full,9.0,20.9587688,105.8463162
môi giới,1.0,51.0,chung cư studio,full,17.0,21.0105633,105.7994223
cá nhân,2.0,90.0,chung cư thường,unk,11.0,20.9982638,105.8673667
cá nhân,2.0,54.0,chung cư studio,full,6.0,21.0088528,105.7439194
cá nhân,3.0,99.8,chung cư thường,cơ bản,11.0,20.9796125,105.8443534
cá nhân,1.0,50.0,chung cư thường,full,10.0,21.014855,105.8504718
cá nhân,1.0,28.0,chung cư studio,cơ bản,5.0,21.0032299,105.7786142
cá nhân,1.0,46.0,chung cư thường,unk,5.25,21.0368026,105.7994539
cá nhân,1.0,58.0,chung cư thường,full,7.0,21.0376771,105.7976502
cá nhân,1.0,45.0,chung cư thường,full,6.0,21.0376219,105.7980848
cá nhân,2.0,60.0,chung cư thường,unk,5.0,21.0274173,105.8354395
môi giới,2.0,67.0,chung cư thường,full,9.0,21.0764202,105.8260943
môi giới,2.0,80.0,chung cư thường,full,7.0,21.0838905,105.8084823
môi giới,1.0,40.0,chung cư studio,cơ bản,6.0,21.0729504,105.8022811
cá nhân,1.0,45.0,chung cư thường,unk,7.0,21.0435412,105.7863629
môi giới,1.0,60.0,chung cư thường,full,14.0,20.9981973,105.8127529
cá nhân,3.0,123.0,chung cư thường,full,10.0,21.0718193,105.8054102
môi giới,2.0,80.0,chung cư thường,full,6.0,21.081348,105.8147429
môi giới,3.0,96.0,chung cư thường,full,11.0,21.0586359,105.7831992
cá nhân,3.0,76.0,chung cư thường,full,7.0,21.0768702,105.8148708
môi giới,1.0,60.0,chung cư thường,cơ bản,7.0,21.0596756,105.8040796
môi giới,1.0,50.0,chung cư thường,cơ bản,7.0,21.0923613,105.7817131
môi giới,2.0,70.0,chung cư thường,full,7.0,21.081348,105.8147429
cá nhân,1.0,55.52,chung cư thường,cơ bản,15.0,21.0311,105.8136648
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0764202,105.8260943
cá nhân,1.0,40.0,chung cư thường,unk,5.0,21.0247538,105.8010085
cá nhân,1.0,41.0,chung cư thường,full,8.0,21.0024138,105.9641124
cá nhân,3.0,58.0,chung cư thường,full,7.0,21.07043,105.8091699
môi giới,1.0,60.0,chung cư thường,full,5.5,21.0768702,105.8148708
môi giới,1.0,35.0,chung cư thường,full,4.0,21.0058439,105.7644792
môi giới,2.0,70.0,chung cư thường,cơ bản,8.0,21.0088528,105.7439194
cá nhân,1.0,35.0,chung cư studio,full,4.0,21.0088528,105.7439194
cá nhân,3.0,100.0,chung cư thường,full,12.0,21.0283601,105.8298793
cá nhân,1.0,38.0,chung cư studio,full,8.0,21.0105633,105.7994223
cá nhân,1.0,28.0,chung cư studio,cơ bản,5.0,21.0032299,105.7786142
cá nhân,3.0,114.0,chung cư thường,full,8.25,21.0442326,105.7673186
cá nhân,2.0,60.0,chung cư studio,cơ bản,3.5,21.0105208,105.952941
môi giới,2.0,80.0,chung cư thường,cơ bản,10.0,21.0586359,105.7831992
môi giới,3.0,104.0,chung cư thường,cơ bản,12.0,21.0730201,105.7703287
môi giới,2.0,86.0,chung cư thường,full,7.0,21.0442326,105.7673186
cá nhân,2.0,60.0,chung cư thường,full,3.5,20.993299,105.962857
môi giới,2.0,50.0,chung cư studio,full,3.5,21.0024138,105.9641124
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0442326,105.7673186
môi giới,1.0,40.0,chung cư thường,full,7.0,21.0607423,105.8090045
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0919168,105.7850022
môi giới,3.0,86.0,chung cư thường,full,7.0,21.0730201,105.7703287
cá nhân,2.0,83.0,chung cư thường,full,9.0,21.0396186,105.7672124
cá nhân,3.0,90.0,chung cư thường,full,12.0,21.0586359,105.7831992
cá nhân,2.0,72.0,chung cư thường,full,12.0,21.0105633,105.7994223
cá nhân,2.0,60.0,chung cư studio,cơ bản,3.5,20.9859154,105.9311644
cá nhân,2.0,55.0,chung cư thường,full,9.0,20.9587688,105.8463162
môi giới,1.0,51.0,chung cư studio,full,17.0,21.0105633,105.7994223
cá nhân,2.0,90.0,chung cư thường,unk,11.0,20.9982638,105.8673667
cá nhân,2.0,54.0,chung cư studio,full,6.0,21.0088528,105.7439194
cá nhân,3.0,99.8,chung cư thường,cơ bản,11.0,20.9796125,105.8443534
cá nhân,1.0,50.0,chung cư thường,full,10.0,21.014855,105.8504718
cá nhân,1.0,28.0,chung cư studio,cơ bản,5.0,21.0032299,105.7786142
cá nhân,1.0,46.0,chung cư thường,unk,5.25,21.0368026,105.7994539
cá nhân,1.0,58.0,chung cư thường,full,7.0,21.0376771,105.7976502
cá nhân,1.0,45.0,chung cư thường,full,6.0,21.0376219,105.7980848
cá nhân,2.0,60.0,chung cư thường,unk,5.0,21.0274173,105.8354395
môi giới,2.0,67.0,chung cư thường,full,9.0,21.0764202,105.8260943
môi giới,2.0,80.0,chung cư thường,full,7.0,21.0838905,105.8084823
môi giới,1.0,40.0,chung cư studio,cơ bản,6.0,21.0729504,105.8022811
cá nhân,1.0,45.0,chung cư thường,unk,7.0,21.0435412,105.7863629
môi giới,1.0,60.0,chung cư thường,full,14.0,20.9981973,105.8127529
cá nhân,3.0,123.0,chung cư thường,full,10.0,21.0718193,105.8054102
môi giới,2.0,80.0,chung cư thường,full,6.0,21.081348,105.8147429
môi giới,3.0,96.0,chung cư thường,full,11.0,21.0586359,105.7831992
cá nhân,3.0,76.0,chung cư thường,full,7.0,21.0768702,105.8148708
môi giới,1.0,60.0,chung cư thường,cơ bản,7.0,21.0596756,105.8040796
môi giới,1.0,50.0,chung cư thường,cơ bản,7.0,21.0923613,105.7817131
môi giới,2.0,70.0,chung cư thường,full,7.0,21.081348,105.8147429
cá nhân,1.0,55.52,chung cư thường,cơ bản,15.0,21.0311,105.8136648
môi giới,2.0,80.0,chung cư thường,full,9.0,21.0764202,105.8260943
cá nhân,1.0,40.0,chung cư thường,unk,5.0,21.0247538,105.8010085
cá nhân,1.0,41.0,chung cư thường,full,8.0,21.0024138,105.9641124
cá nhân,3.0,58.0,chung cư thường,full,7.0,21.07043,105.8091699
môi giới,1.0,60.0,chung cư thường,full,5.5,21.0768702,105.8148708
cá nhân,1.0,55.0,chung cư thường,full,16.0,20.9981973,105.8127529
cá nhân,1.0,65.0,chung cư thường,unk,8.0,21.0338462,105.8266015
cá nhân,1.0,38.0,chung cư studio,full,7.0,21.0099571,105.7843298
cá nhân,1.0,50.0,chung cư thường,full,7.0,21.0442326,105.7673186
cá nhân,2.0,80.0,chung cư thường,cơ bản,19.0,21.0330094,105.8139007
cá nhân,2.0,75.0,chung cư thường,cơ bản,6.5,21.0084108,105.8014449
cá nhân,2.0,69.6,chung cư thường,full,9.0,20.9999913,105.8699539
môi giới,2.0,70.0,chung cư thường,cơ bản,10.0,20.9968524,105.8034491
môi giới,2.0,75.0,chung cư thường,nguyên bản,11.0,21.0090571,105.8607507
cá nhân,3.0,96.0,chung cư thường,full,25.0,20.9959819,105.8097244
môi giới,2.0,75.0,chung cư thường,full,6.0,21.0366497,105.7791356
môi giới,3.0,110.0,chung cư thường,cơ bản,12.0,21.0442326,105.7673186
cá nhân,2.0,79.0,chung cư thường,cơ bản,23.0,21.0034608,105.7703287
cá nhân,2.0,95.0,chung cư thường,unk,7.8,21.0059735,105.8544192
môi giới,2.0,71.0,chung cư thường,full,10.0,21.0161278,105.7926129
cá nhân,1.0,55.0,chung cư thường,full,7.0,21.0366497,105.7791356
cá nhân,2.0,70.0,chung cư thường,full,8.0,21.0161278,105.7926129
cá nhân,2.0,50.0,chung cư thường,nguyên bản,7.0,21.036669,105.779831
môi giới,2.0,86.0,chung cư thường,cơ bản,14.0,20.999412,105.8143375
môi giới,2.0,108.0,chung cư thường,full,18.5,21.027233,105.8169367
môi giới,2.0,92.0,chung cư thường,cơ bản,12.0,21.0306461,105.7692892
môi giới,2.0,72.0,chung cư thường,full,10.0,21.0919168,105.7850022
cá nhân,2.0,60.0,chung cư thường,full,9.0,21.0161278,105.7926129
cá nhân,2.0,28.0,chung cư studio,full,7.5,21.0032299,105.7786142
môi giới,2.0,78.0,chung cư thường,full,10.0,21.0310421,105.7808293
môi giới,2.0,74.0,chung cư thường,full,10.0,21.0586359,105.7831992
môi giới,2.0,84.0,chung cư thường,cơ bản,9.0,21.0333694,105.7697198
cá nhân,1.0,35.0,chung cư mini,unk,5.0,21.0340808,105.7977469
môi giới,2.0,63.0,chung cư thường,full,12.0,21.0269818,105.7860861
môi giới,3.0,120.0,chung cư thường,cơ bản,11.0,21.0362368,105.7905825
môi giới,2.0,56.0,chung cư studio,full,8.0,21.0333694,105.7697198
môi giới,2.0,75.0,chung cư thường,full,6.0,21.0586359,105.7831992
môi giới,2.0,55.0,chung cư thường,full,7.0,21.0768702,105.8148708
môi giới,3.0,120.0,chung cư thường,cơ bản,11.0,21.0084108,105.8014449
cá nhân,1.0,45.0,chung cư thường,full cao cấp,6.0,21.0141788,105.7775527
cá nhân,1.0,42.0,chung cư mini,unk,6.0,21.0352711,105.8203308
môi giới,2.0,65.0,chung cư thường,cơ bản,10.0,21.0047078,105.8044248
môi giới,2.0,56.0,chung cư thường,cơ bản,9.0,21.0333694,105.7697198
môi giới,3.0,114.0,chung cư thường,full,11.5,21.0586359,105.7831992
môi giới,3.0,93.0,chung cư thường,full,6.5,21.0586359,105.7831992
cá nhân,3.0,93.0,chung cư thường,unk,19.0,20.9982638,105.8673667
cá nhân,3.0,65.0,chung cư thường,unk,4.8,21.0153374,105.8099253
cá nhân,3.0,75.0,chung cư thường,full,3.75,21.0029038,105.939237
cá nhân,3.0,128.0,chung cư thường,unk,10.0,21.0109401,105.7211324
môi giới,2.0,68.0,chung cư thường,full,8.0,21.0496292,105.9163141
cá nhân,1.0,35.0,chung cư mini,full,4.0,20.9943403,105.8141531
cá nhân,3.0,96.0,chung cư thường,cơ bản,13.0,21.0232492,105.7899901
cá nhân,2.0,65.0,chung cư thường,full,6.5,20.9964358,105.7709164
cá nhân,2.0,70.5,chung cư thường,unk,11.0,21.0554422,105.8048093
môi giới,4.0,167.0,chung cư thường,cơ bản,35.0,21.0203116,105.8083282
môi giới,2.0,60.0,chung cư thường,full,10.0,21.0596756,105.8040796
môi giới,2.0,87.0,chung cư thường,full,10.0,21.057969,105.797542
cá nhân,1.0,38.0,chung cư studio,full,8.0,21.0105633,105.7994223
cá nhân,2.0,70.0,chung cư thường,cơ bản,10.0,20.9968524,105.8034491
môi giới,3.0,80.0,chung cư thường,cơ bản,10.0,21.0306461,105.7692892
môi giới,3.0,116.0,chung cư thường,unk,10.0,21.0919168,105.7850022
môi giới,2.0,120.0,chung cư thường,full,10.0,21.0362368,105.7905825
cá nhân,3.0,142.0,chung cư thường,full,18.0,21.0354154,105.7947586
cá nhân,1.0,25.0,chung cư studio,unk,4.0,21.0617106,105.8944872
cá nhân,2.0,70.0,chung cư studio,cơ bản,14.0,21.0105633,105.7994223
cá nhân,2.0,110.0,chung cư thường,full,12.0,20.9982638,105.8673667
cá nhân,2.0,100.6,chung cư thường,unk,7.0,21.0838905,105.8084823
môi giới,2.0,75.0,chung cư thường,cơ bản,6.0,21.0586359,105.7831992
môi giới,2.0,114.0,chung cư thường,full,16.0,21.004945,105.7980865
cá nhân,2.0,60.0,chung cư thường,full,7.0,21.057969,105.797542
môi giới,2.0,75.0,chung cư thường,cơ bản,12.0,21.0354144,105.8139911
cá nhân,3.0,112.0,chung cư thường,full,14.0,21.0061504,105.8065102
cá nhân,1.0,46.0,chung cư thường,full,13.0,21.0249117,105.8433693
cá nhân,3.0,90.0,chung cư thường,full,10.0,20.9990138,105.8027825
môi giới,1.0,55.0,chung cư thường,unk,9.0,21.0361845,105.8105616
môi giới,1.0,70.0,chung cư thường,unk,15.0,21.0323732,105.8095708
cá nhân,1.0,150.0,chung cư thường,full,11.0,20.9981973,105.8127529
cá nhân,1.0,45.0,chung cư thường,full,7.0,21.0215732,105.8430914
cá nhân,2.0,80.0,chung cư thường,full,8.0,21.0184971,105.8273573
cá nhân,2.0,70.0,chung cư tập thể,full,7.5,21.0184378,105.802628
cá nhân,1.0,28.0,chung cư studio,full,8.5,21.0032299,105.7786142
cá nhân,2.0,97.0,chung cư thường,full,12.0,21.0354154,105.7947586
cá nhân,1.0,25.0,chung cư thường,unk,3.9,20.9540586,105.7409852
cá nhân,2.0,70.0,chung cư thường,unk,10.0,21.0104484,105.8184403
cá nhân,1.0,28.0,chung cư thường,unk,4.0,21.035347,105.8033348
môi giới,3.0,82.0,chung cư thường,full,11.0,20.9987082,105.7515087
cá nhân,3.0,100.2,chung cư thường,full,33.0,21.0330094,105.8139007
môi giới,2.0,60.0,chung cư thường,cơ bản,9.5,21.0032299,105.7786142
môi giới,1.0,36.0,chung cư studio,full,7.0,21.0099571,105.7843298
môi giới,1.0,38.0,chung cư studio,full,8.0,21.0105633,105.7994223
môi giới,1.0,30.0,chung cư thường,full,5.5,21.0032299,105.7786142
môi giới,2.0,60.0,chung cư thường,full,9.0,20.9987082,105.7515087
môi giới,1.0,34.0,chung cư studio,full,7.0,20.9987082,105.7515087
môi giới,2.0,86.0,chung cư thường,full,9.0,21.0403832,105.7629924
môi giới,2.0,86.0,chung cư thường,full,9.0,21.0310836,105.7745675
môi giới,3.0,128.0,chung cư thường,full,12.0,21.0295683,105.7918811
môi giới,3.0,98.0,chung cư thường,cơ bản,11.0,21.0028962,105.789112
môi giới,3.0,100.0,chung cư thường,full,13.5,21.0090571,105.8607507
môi giới,2.0,90.0,chung cư thường,full,11.0,21.0090571,105.8607507
cá nhân,2.0,81.0,chung cư thường,full,23.0,21.0312117,105.8150522
môi giới,2.0,98.0,chung cư thường,unk,16.0,21.0121713,105.86326
môi giới,2.0,86.0,chung cư thường,full,17.0,21.0203116,105.8083282
môi giới,2.0,86.0,chung cư thường,full,15.0,21.0210979,105.8087914
môi giới,2.0,80.0,chung cư thường,cơ bản,10.0,21.0333694,105.7697198
môi giới,3.0,110.0,chung cư thường,full,12.0,21.0141788,105.7775527
môi giới,2.0,95.0,chung cư thường,full,14.0,20.9959819,105.8097244
cá nhân,2.0,66.0,chung cư thường,cơ bản,8.0,21.0005949,105.872568
môi giới,2.0,70.0,chung cư thường,full,6.0,21.0435239,105.9068002
môi giới,2.0,70.0,chung cư thường,full,8.0,21.0435239,105.9068002
môi giới,2.0,80.0,chung cư thường,cơ bản,10.0,21.0433311,105.8653021
cá nhân,3.0,90.0,chung cư thường,full,13.0,21.0505606,105.7809186
cá nhân,2.0,64.0,chung cư thường,full,13.0,21.0084108,105.8014449
môi giới,1.0,55.0,chung cư thường,full,15.0,21.0311,105.8136648
môi giới,2.0,75.0,chung cư thường,full,13.0,21.0099571,105.7843298
môi giới,2.0,70.0,chung cư thường,full,8.0,21.081348,105.8147429
môi giới,3.0,97.0,chung cư thường,full,10.0,21.081348,105.8147429
cá nhân,2.0,65.0,chung cư thường,nguyên bản,8.0,21.0297624,105.7779661
môi giới,1.0,55.0,chung cư thường,full cao cấp,6.0,21.046355,105.9097677
môi giới,2.0,66.0,chung cư thường,full,10.0,21.046355,105.9097677
môi giới,2.0,66.0,chung cư thường,cơ bản,8.0,21.046355,105.9097677
môi giới,3.0,125.0,chung cư thường,cơ bản,13.0,21.0396186,105.7672124
cá nhân,2.0,82.0,chung cư thường,full,15.0,20.9982638,105.8673667
cá nhân,2.0,90.0,chung cư thường,full,14.0,20.9982638,105.8673667
cá nhân,2.0,90.0,chung cư thường,full,14.0,20.9982638,105.8673667
môi giới,2.0,82.0,chung cư thường,unk,15.0,21.0174168,105.7820991
môi giới,2.0,124.0,chung cư thường,unk,9.5,20.9833749,105.7835348
cá nhân,3.0,136.0,chung cư thường,cơ bản,12.0,20.9999547,105.8004869
môi giới,3.0,100.0,chung cư thường,full,15.0,20.9836984,105.8636257
cá nhân,3.0,100.0,chung cư thường,full cao cấp,19.0,21.0919168,105.7850022
môi giới,1.0,40.0,chung cư thường,full,8.0,21.0186765,105.884813
môi giới,3.0,130.0,chung cư thường,cơ bản,9.0,21.0309202,105.7592414
cá nhân,1.0,38.0,chung cư studio,full,8.5,21.0186765,105.884813
môi giới,2.0,70.0,chung cư thường,full,12.0,20.9998356,105.7480899
môi giới,2.0,90.0,chung cư thường,full,8.0,20.9858593,105.840497
môi giới,3.0,125.0,chung cư thường,full,8.0,21.0475866,105.796981
môi giới,3.0,136.0,chung cư thường,full,12.0,21.0460398,105.7932705
môi giới,2.0,85.0,chung cư thường,full,13.0,21.0701107,105.8116124
cá nhân,2.0,62.0,chung cư thường,full,7.0,20.9726978,105.7781884
môi giới,1.0,40.0,chung cư thường,nguyên bản,7.0,21.0186765,105.884813
môi giới,2.0,60.0,chung cư thường,full,12.0,20.9948406,105.8060282
môi giới,2.0,60.0,chung cư thường,full,12.0,21.0084108,105.8014449
môi giới,1.0,51.0,chung cư thường,full,9.0,21.0042496,105.8033839
môi giới,2.0,70.0,chung cư thường,cơ bản,12.0,20.9968524,105.8034491
môi giới,3.0,100.0,chung cư thường,full,13.0,21.0101531,105.7988345
môi giới,2.0,83.0,chung cư thường,full,14.0,21.0183406,105.7764782
môi giới,2.0,60.0,chung cư thường,full,11.0,21.0333694,105.7697198
môi giới,2.0,70.0,chung cư thường,cơ bản,14.0,21.0099571,105.7843298
môi giới,2.0,70.0,chung cư thường,full,12.0,21.0181378,105.7932507
môi giới,2.0,70.0,chung cư thường,cơ bản,10.5,21.0181378,105.7932507
môi giới,2.0,60.0,chung cư thường,full,13.0,21.0043594,105.7944744
môi giới,3.0,100.0,chung cư thường,full,18.0,21.0105633,105.7994223
môi giới,3.0,100.0,chung cư thường,cơ bản,9.0,21.0713471,105.7932944
môi giới,1.0,35.0,chung cư studio,full,6.0,21.0607423,105.8090045
cá nhân,2.0,65.0,chung cư thường,unk,6.0,20.96878,105.7858
cá nhân,3.0,110.0,chung cư thường,full,11.0,21.0341986,105.8172682
môi giới,3.0,77.0,chung cư thường,full,6.0,21.0861356,105.7856819
môi giới,2.0,74.0,chung cư thường,full,7.0,21.0586359,105.7831992
môi giới,2.0,94.0,chung cư thường,cơ bản,12.0,21.0306461,105.7692892
môi giới,2.0,60.0,chung cư thường,nguyên bản,8.5,21.0218044,105.790872
môi giới,2.0,80.0,chung cư thường,cơ bản,10.0,21.0281772,105.7828902
môi giới,2.0,80.0,chung cư thường,cơ bản,11.0,21.0281772,105.7828902
môi giới,2.0,75.0,chung cư thường,full,10.0,21.0312359,105.781832
môi giới,2.0,98.0,chung cư thường,cơ bản,9.0,21.0181378,105.7932507
cá nhân,2.0,115.0,chung cư thường,cơ bản,15.0,20.9981973,105.8127529
cá nhân,3.0,114.5,chung cư thường,unk,19.0,20.9981973,105.8127529
môi giới,2.0,80.0,chung cư thường,full,12.0,21.0333694,105.7697198
môi giới,1.0,40.0,chung cư thường,cơ bản,7.0,21.0435239,105.9068002
môi giới,1.0,38.0,chung cư thường,full,7.5,21.046355,105.9097677
cá nhân,2.0,64.0,chung cư thường,full,8.5,21.0024138,105.9641124
môi giới,2.0,80.0,chung cư thường,full,14.0,21.0002855,105.8284766
môi giới,3.0,125.0,chung cư thường,full,30.0,21.0114412,105.8634041
môi giới,2.0,86.0,chung cư thường,full,20.0,21.0114412,105.8634041
môi giới,1.0,77.0,chung cư studio,full,16.0,21.0249117,105.8433693
môi giới,1.0,28.0,chung cư thường,cơ bản,6.0,21.0032299,105.7786142
môi giới,2.0,58.0,chung cư thường,full,9.0,21.0032299,105.7786142
cá nhân,2.0,72.0,chung cư thường,cơ bản,10.0,21.0362368,105.7905825
cá nhân,3.0,130.0,chung cư thường,full,8.0,21.0362368,105.7905825
môi giới,3.0,110.0,chung cư thường,cơ bản,10.0,21.0362368,105.7905825
cá nhân,2.0,70.0,chung cư thường,unk,8.0,21.0548635,105.8884966
môi giới,3.0,75.0,chung cư thường,cơ bản,5.0,21.0861356,105.7856819
môi giới,2.0,100.0,chung cư thường,full,10.0,21.0362368,105.7905825
môi giới,1.0,70.0,chung cư thường,cơ bản,7.0,21.0186765,105.884813
môi giới,3.0,100.0,chung cư thường,cơ bản,10.0,21.0344101,105.783907
môi giới,3.0,120.0,chung cư thường,full,12.0,21.0084108,105.8014449
môi giới,2.0,88.0,chung cư thường,full,7.0,21.0396186,105.7672124
môi giới,3.0,104.0,chung cư thường,full,13.0,21.0306461,105.7692892
môi giới,2.0,70.0,chung cư thường,cơ bản,6.0,21.0548635,105.8884966
cá nhân,3.0,98.2,chung cư thường,cơ bản,12.0,21.0034608,105.7703287
cá nhân,1.0,26.0,chung cư thường,unk,3.65,20.9845891,105.7995813
môi giới,3.0,130.0,chung cư thường,full,8.5,21.0034608,105.7703287
môi giới,2.0,75.0,chung cư thường,full,6.0,21.0713471,105.7932944
cá nhân,2.0,52.0,chung cư tập thể,unk,5.3,21.0272814,105.8177424
môi giới,2.0,88.0,chung cư thường,cơ bản,10.0,21.0141788,105.7775527
môi giới,2.0,100.0,chung cư thường,cơ bản,10.0,21.0309144,105.7839062
cá nhân,2.0,97.5,chung cư thường,full,15.0,20.9982638,105.8673667
cá nhân,2.0,75.0,chung cư thường,full,14.0,21.0034608,105.7703287
môi giới,1.0,40.0,chung cư thường,full,8.0,21.0186765,105.884813
cá nhân,2.0,88.0,chung cư thường,unk,7.0,20.9903367,105.7827237
môi giới,2.0,70.0,chung cư thường,full,12.0,20.9959819,105.8097244
môi giới,2.0,70.0,chung cư thường,unk,8.0,21.0435239,105.9068002
môi giới,2.0,70.0,chung cư thường,full,7.5,21.0543096,105.8771757
môi giới,2.0,85.0,chung cư thường,full,11.0,21.0433311,105.8653021
môi giới,2.0,57.0,chung cư thường,full,5.5,20.9587688,105.8463162
cá nhân,2.0,70.0,chung cư thường,cơ bản,6.0,21.0186765,105.884813
môi giới,1.0,50.0,chung cư thường,cơ bản,9.5,20.9982638,105.8673667
môi giới,4.0,80.0,chung cư thường,unk,12.0,20.9982638,105.8673667
môi giới,3.0,100.0,chung cư thường,unk,14.5,20.9973921,105.804033
cá nhân,2.0,80.0,chung cư thường,unk,15.0,20.9982638,105.8673667
môi giới,1.0,50.0,chung cư thường,full,6.0,20.9803876,105.8066156
môi giới,2.0,57.0,chung cư thường,full,5.0,20.9587688,105.8463162
môi giới,2.0,55.0,chung cư thường,full,7.0,20.9841802,105.8084522
môi giới,2.0,60.0,chung cư thường,cơ bản,9.0,20.9948406,105.8060282
môi giới,2.0,80.0,chung cư thường,full,13.0,20.9973921,105.804033
môi giới,1.0,53.0,chung cư thường,unk,9.0,20.9982638,105.8673667
môi giới,1.0,25.0,chung cư studio,cơ bản,6.0,21.0032299,105.7786142
cá nhân,3.0,100.0,chung cư thường,full,14.0,20.9984853,105.8686635
môi giới,2.0,73.0,chung cư thường,full,12.0,20.9982638,105.8673667
môi giới,3.0,87.0,chung cư thường,cơ bản,13.0,20.9964399,105.8635404
môi giới,2.0,68.0,chung cư thường,unk,10.5,20.983687,105.848156
môi giới,2.0,74.0,chung cư thường,full,10.0,21.0348345,105.7656812
môi giới,1.0,50.0,chung cư thường,full,9.0,20.9984853,105.8686635
môi giới,2.0,80.0,chung cư thường,full cao cấp,26.0,21.0124139,105.8470199
cá nhân,2.0,67.0,chung cư thường,unk,5.5,20.9724114,105.7615252
môi giới,2.0,76.0,chung cư thường,full,12.0,20.9916037,105.7845561
cá nhân,3.0,216.0,chung cư thường,full,45.0,21.0106552,105.8490846
môi giới,1.0,50.0,chung cư thường,full,8.0,21.0141788,105.7775527
môi giới,2.0,85.0,chung cư thường,cơ bản,12.0,21.0337336,105.7704429
môi giới,3.0,95.0,chung cư thường,cơ bản,13.0,21.0306461,105.7692892
cá nhân,3.0,80.0,chung cư tập thể,unk,5.5,21.0022945,105.829711
môi giới,3.0,75.0,chung cư thường,unk,7.0,20.9836984,105.8636257
cá nhân,1.0,35.0,chung cư studio,full,4.0,20.979126,105.8210652
môi giới,2.0,60.0,chung cư thường,full,9.5,21.0034608,105.7703287
cá nhân,2.0,55.0,chung cư thường,full,5.5,21.0024138,105.9641124
cá nhân,2.0,63.0,chung cư thường,full,7.5,21.0024138,105.9641124
cá nhân,2.0,112.0,chung cư thường,full,15.0,20.9981973,105.8127529
môi giới,1.0,30.0,chung cư thường,full,4.0,21.0025339,105.9642589
môi giới,2.0,29.0,chung cư thường,full,4.0,21.0025339,105.9642589
môi giới,1.0,29.0,chung cư thường,full,7.0,21.0032299,105.7786142
môi giới,1.0,30.0,chung cư thường,full,6.0,20.9917435,105.8682811
môi giới,2.0,80.0,chung cư thường,full,10.0,20.9972755,105.8671037
môi giới,2.0,91.0,chung cư thường,unk,12.0,21.0306461,105.7692892
môi giới,2.0,75.0,chung cư thường,full,9.0,20.9726978,105.7781884
môi giới,2.0,80.0,chung cư thường,unk,12.0,21.0032299,105.7786142
môi giới,2.0,75.0,chung cư thường,cơ bản,10.0,21.0310421,105.7808293
môi giới,2.0,84.0,chung cư thường,unk,11.0,21.0232492,105.7899901
môi giới,1.0,30.0,chung cư thường,full,6.0,21.0058439,105.7644792
môi giới,2.0,70.0,chung cư thường,full,10.0,21.0084108,105.8014449
môi giới,2.0,100.0,chung cư thường,cơ bản,14.0,21.0596756,105.8040796
môi giới,2.0,86.0,chung cư thường,full,10.0,21.0730201,105.7703287
môi giới,2.0,75.0,chung cư thường,full,11.0,21.0090571,105.8607507
cá nhân,3.0,62.0,chung cư thường,cơ bản,4.0,20.9540586,105.7409852
cá nhân,2.0,88.0,chung cư thường,cơ bản,8.0,21.0109401,105.7211324
môi giới,3.0,100.0,chung cư thường,full,11.0,21.0586359,105.7831992
cá nhân,2.0,86.0,chung cư thường,cơ bản,10.5,21.0748534,105.7973432
môi giới,3.0,144.0,chung cư thường,cơ bản,12.0,21.0295611,105.7747747
cá nhân,2.0,75.0,chung cư thường,unk,8.0,20.9721102,105.8388963
môi giới,1.0,60.0,chung cư thường,full,8.0,21.0297624,105.7779661
cá nhân,1.0,35.0,chung cư mini,unk,4.1000000000000005,20.9791537,105.7962032
cá nhân,2.0,80.0,chung cư thường,full,15.0,21.0281772,105.7828902
môi giới,3.0,115.0,chung cư thường,full,12.0,21.0455988,105.8663119
môi giới,2.0,55.0,chung cư thường,full,6.0,21.0363101,105.9330168
môi giới,2.0,86.0,chung cư thường,full,12.0,21.0455988,105.8663119
